address,in_cluster_with_risky,max_daily_tx_count,small_transfer_count,idle_days,contract_interactions_count,time_since_last_tx,token_diversity,token_holdings_count,balance_eth,tx_count,tx_in_count,tx_out_count,avg_tx_value,max_tx_value,activity_days,label,is_mixer
0x35a95d5f0c8f676bb7b2dab47d6368a4ad5cbf8a,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0x68df455d595ce83498242856bf7b04c50696b21a,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0xab215957873deadd9512fbde29e6c12bea1dd1a1,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0x53645080083e0037976455ef903bc88679d1029f,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0xb119ea0fa97c926dd55ff11cb90a1a0d578dc57e,0,6.0,4.0,2.0,0,210456209.0,0.0,1.0098765466666666,2.99008514,3.0,4.0,2,1.00987655,2.99008514,-1.0,Dodgy,False
0x86d5f3aa7bf4060a3f18832fc3faa3569483cc62,0,8.0,6.0,2.0,0,194981799.0,0.0,2.00467503,5.01559695,2.0,6.0,2,2.00467503,5.01559695,-1.0,Dodgy,False
0x933227ee8b04c72dc864788fb9cf2e5352b5e147,0,7.0,4.0,3.0,0,139402255.0,2.0,2.286937357142857,6.0,5.0,4.0,3,2.28693736,6.0,-1.0,Dodgy,False
0xe8166a324fcd1645d8ae06fbf98f945724676207,0,12.0,6.0,6.0,0,206120082.0,1.0,0.6714113283333334,1.09385944,6.0,6.0,6,0.80569359,1.09385944,-1.0,Dodgy,False
0x37f6e167a71996cc94d76f34591d597a805270fe,0,7.0,6.0,1.0,0,210104189.0,0.0,2.2428275942857145,7.84885708,3.0,6.0,1,2.24282759,7.84885708,-1.0,Dodgy,False
0x976b3b64a42cf04d735583004c298aa4e62a913c,0,10.0,9.0,1.0,0,210105632.0,1.0,1.9106683068,9.552302033999998,3.0,9.0,1,1.91066831,9.55230203,-1.0,Dodgy,False
0x48298529042c8c0f2b6c981a65b8400713e64f7b,0,3.0,2.0,1.0,0,172465946.0,1.0,2.0397130000000003,3.559139,2.0,2.0,1,2.039713,3.559139,-1.0,Dodgy,False
0x508e1101755a4a6ae228b0e18002a816ce3418ce,0,10.0,9.0,1.0,0,225663844.0,3.0,0.9279749547777778,4.639444277777778,5.0,9.0,1,0.92797495,4.63944428,-1.0,Dodgy,False
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,1,64.0,24.0,40.0,1,203377326.0,1.0,0.3379865914376861,2.3926056,31.0,24.0,40,0.34335146,2.3926056,-1.0,Dodgy,False
0x9404c08c6ae0cd5f1fdbc558c7a61d3d7bff07e6,0,6.0,5.0,1.0,0,204913285.0,1.0,1.1772197874767223,3.53155436,5.0,5.0,1,1.17721979,3.53155436,-1.0,Dodgy,False
0xe4837a2ece6832babedc2be30bb92da6fa42f484,0,13.0,8.0,5.0,0,211301032.0,0.0,0.7644761938461537,2.53203606,8.0,8.0,5,0.76447619,2.53203606,-1.0,Dodgy,False
0x117262defa4ece46a009e5e883d7c6f9d2d69b89,1,13.0,7.0,6.0,0,189404274.0,0.0,0.0750765307692307,0.23,8.0,7.0,6,0.07507653,0.23,-1.0,Dodgy,False
0x0ce2eaf01543132b88e5e8156fcad978994a9cf6,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0xaa1ea8f6cdeeb491d9cf9fcdfc8fec6b4040d1c4,0,22.0,21.0,1.0,0,180571472.0,0.0,1.3194657972727273,14.5171,5.0,21.0,1,1.3822975,14.5171,-1.0,Dodgy,False
0x7c9001c50ea57c1b2ec1e3e63cf04c297534bfc1,0,2893.0,1505.0,1390.0,0,98653375.0,0.0,0.2592267818140596,19.996,536.0,1505.0,1390,0.25940612,19.996,-1.0,Dodgy,False
0xa1b04a60a35854d0749ae39b0346bceb55247ecc,0,6.0,3.0,3.0,0,200770678.0,0.0,0.71483742,1.05728206,3.0,3.0,3,0.71483742,1.05728206,-1.0,Dodgy,False
